texts,intents
bye,goodbye
How long ago were you created?,age
Your official name?,name
Should I ware a jacket?,weather
How’s it going?,greet
How old might you be?,age
What's the humidty level outside?,weather
What's the capital of France?,out_of_scope
Hei!,greet
Turn on som chillout music,music
Do virtual assistants have life spans?,age
Howdy partner!,greet
Is it a good day for fishing?,weather
I'd like to listen to opera,music
lychee,kitchen
Feeling like listening to some beats,music
fetch me a banana,kitchen
smothie,kitchen
What's the formula for photosynthesis?,out_of_scope
Should I expect frost tonight?,weather
What’s up?,greet
tonic water,kitchen
Who painted the Mona Lisa?,out_of_scope
refrigerator,kitchen
Are we gonna get hit by the hurricane?,weather
Is it safe to go out in this weather?,weather
Play a sond that's trending,music
celery,kitchen
asdfghjkl,out_of_scope
What's your preferred name?,name
Music please,music
How about we listen to the radio?,music
What should I refer to you as?,name
Is there a weather warning in effect?,weather
orange,kitchen
What's the count of years since your creation?,age
hot chocolate,kitchen
Turn up some EDM,music
vegetable juice,kitchen
Have you been around for a long time?,age
Are we expecting a dry day?,weather
Is it safe to barbecue outside today?,weather
When did you first come into existence?,age
Put on my favorite album,music
Sup?,greet
Put on some country music,music
pomegranate juice,kitchen
How are things?,greet
Is it too cold for swimming?,weather
How ya been doin'?,greet
When was the internet invented?,out_of_scope
protein shake,kitchen
I've got to head out,goodbye
calculate,out_of_scope
suggestions,out_of_scope
How's the wether?,weather
cofee,kitchen
tomato juice,kitchen
Is it goin to ran today?,weather
What's your date of creation?,age
integration,out_of_scope
